text,label
"I am delighted by how kind everyone has been",joy
"My heart sings with joy every time I see her",joy
"I am so glad and thankful for this chance",joy
"Happiness bubbled up the moment I heard the news",joy
"I am thrilled and grateful beyond any words",joy
"What a joyful reunion this turned out to be",joy
"I am so happy that I simply cannot stop grinning",joy
"This wonderful gift left me delighted and touched",joy
"I feel blissful and happy on this perfect day",joy
"I am excited and full of joy for the journey ahead",joy
"My whole heart is warm and happy tonight",joy
"I am glad and grateful for all these blessings",joy
"Joy and laughter filled the entire room",joy
"I am thrilled that we finally made it happen",joy
"This is the happiest and most joyful moment",joy
"I am so delighted to share this wonderful news",joy
"Happiness flooded through me as we hugged",joy
"I am cheerful and excited about tomorrow",joy
"My heart overflows with joy and gratitude",joy
"I am so happy and content with life right now",joy
"This wonderful day has filled me with pure joy",joy
"I am thrilled and delighted by the warm welcome",joy
"I feel joyful and grateful for every little thing",joy
"I am so sad that I can barely speak",sadness
"The grief washes over me every single morning",sadness
"I miss them so much that my heart aches",sadness
"I feel lonely and empty without them here",sadness
"I am heartbroken over how everything ended",sadness
"Tears keep falling and I cannot make them stop",sadness
"I am sad and tired of feeling so alone",sadness
"The sorrow of losing him is too much to bear",sadness
"I feel empty and hurt after the long goodbye",sadness
"My heart is heavy with grief tonight",sadness
"I am so sad that I cannot even manage a smile",sadness
"The loneliness makes the nights feel endless",sadness
"I miss the way things used to be so much",sadness
"I am heartbroken and my tears will not stop",sadness
"A deep sadness has settled over me lately",sadness
"I feel so lonely even when people are around",sadness
"The grief comes in waves that knock me down",sadness
"I am sad and empty and I do not know why",sadness
"My heart aches with sorrow every single day",sadness
"I cry myself to sleep missing what we had",sadness
"I am heartbroken that they are truly gone",sadness
"The sadness sits in my chest like a heavy stone",sadness
"I feel hollow and lonely in this quiet house",sadness
"I miss her voice and it quietly breaks my heart",sadness
"I am so sad and hurt by what they said",sadness
"Grief has stolen all the color from my days",sadness
"I feel empty and sad with no reason to smile",sadness
"The tears come every time I remember them",sadness
"I am lonely and heartbroken again tonight",sadness
"My sorrow grows heavier with each passing day",sadness
"I am so sad that nothing feels worth doing",sadness
"The ache of missing them never really fades",sadness
"I feel broken and alone after the loss",sadness
"I am heartbroken and drowning in sorrow",sadness
"The loneliness of the empty room crushes me",sadness
"I miss them terribly and my heart is sore",sadness
"I am sad and weary from all this grief",sadness
"Tears blur my eyes whenever I think of home",sadness
"I feel so lonely and forgotten by everyone",sadness
"The sadness weighs on me like a heavy blanket",sadness
